name,symptoms,treatment
bệnh lupus,"phát ban, đau khớp, mệt mỏi","thuốc chống viêm, ức chế miễn dịch"
viêm dạ dày,"đau bụng, buồn nôn, đầy hơi","thuốc ức chế axit, chế độ ăn nhẹ"
sỏi mật,"đau bụng phải, buồn nôn, sốt","phẫu thuật cắt túi mật, thuốc tan sỏi"
bệnh chàm,"ngứa, đỏ da, khô da","kem dưỡng ẩm, corticosteroid, tránh kích ứng"
hội chứng tiền kinh nguyệt,"đau bụng, mệt mỏi, cáu gắt","thuốc giảm đau, thay đổi lối sống"
nhiễm trùng đường tiết niệu,"tiểu buốt, tiểu nhiều, đau bụng","kháng sinh, uống nhiều nước"
bệnh alzheimer,"mất trí nhớ, lú lẫn, khó nói","thuốc cải thiện trí nhớ, chăm sóc hỗ trợ"
viêm kết mạc,"mắt đỏ, ngứa, chảy nước mắt","thuốc nhỏ mắt, vệ sinh mắt sạch"
bệnh tiểu đêm,"tiểu nhiều về đêm, mất ngủ","thuốc điều hòa bàng quang, hạn chế uống tối"
viêm xoang,"đau đầu, nghẹt mũi, chảy mũi","thuốc thông mũi, kháng sinh nếu nhiễm khuẩn"
hội chứng ống cổ tay,"tê tay, đau cổ tay, yếu tay","nẹp cổ tay, vật lý trị liệu, phẫu thuật"
bệnh vảy nến,"đỏ da, bong tróc, ngứa","kem bôi corticosteroid, quang trị liệu"
viêm gan a,"sốt, vàng da, mệt mỏi","nghỉ ngơi, chế độ ăn nhẹ, tiêm phòng"
bệnh crohn,"đau bụng, tiêu chảy, sút cân","thuốc chống viêm, chế độ ăn phù hợp"
hội chứng chân không yên,"ngứa chân, khó chịu về đêm","thuốc tăng dopamine, massage chân"
bệnh zona,"phát ban, đau rát, ngứa","thuốc kháng virus, thuốc giảm đau"
