name,symptoms,treatment
Bệnh lupus,"phát ban, đau khớp, mệt mỏi","thuốc chống viêm, ức chế miễn dịch"
Viêm dạ dày,"đau bụng, buồn nôn, đầy hơi","thuốc ức chế axit, chế độ ăn nhẹ"
Sỏi mật,"đau bụng phải, buồn nôn, sốt","phẫu thuật cắt túi mật, thuốc tan sỏi"
Bệnh chàm,"ngứa, đỏ da, khô da","kem dưỡng ẩm, corticosteroid, tránh kích ứng"
Hội chứng tiền kinh nguyệt,"đau bụng, mệt mỏi, cáu gắt","thuốc giảm đau, thay đổi lối sống"
Nhiễm trùng đường tiết niệu,"tiểu buốt, tiểu nhiều, đau bụng","kháng sinh, uống nhiều nước"
Bệnh Alzheimer,"mất trí nhớ, lú lẫn, khó nói","thuốc cải thiện trí nhớ, chăm sóc hỗ trợ"
Viêm kết mạc,"mắt đỏ, ngứa, chảy nước mắt","thuốc nhỏ mắt, vệ sinh mắt sạch"
Bệnh tiểu đêm,"tiểu nhiều về đêm, mất ngủ","thuốc điều hòa bàng quang, hạn chế uống tối"
Viêm xoang,"đau đầu, nghẹt mũi, chảy mũi","thuốc thông mũi, kháng sinh nếu nhiễm khuẩn"
Hội chứng ống cổ tay,"tê tay, đau cổ tay, yếu tay","nẹp cổ tay, vật lý trị liệu, phẫu thuật"
Bệnh vảy nến,"đỏ da, bong tróc, ngứa","kem bôi corticosteroid, quang trị liệu"
Viêm gan A,"sốt, vàng da, mệt mỏi","nghỉ ngơi, chế độ ăn nhẹ, tiêm phòng"
Bệnh Crohn,"đau bụng, tiêu chảy, sút cân","thuốc chống viêm, chế độ ăn phù hợp"
Hội chứng chân không yên,"ngứa chân, khó chịu về đêm","thuốc tăng dopamine, massage chân"
Bệnh zona,"phát ban, đau rát, ngứa","thuốc kháng virus, thuốc giảm đau"
